epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9665,2.17849,3.37623,2.65867,0.00352,1,0.03831,0.01298,1.30598,3.98043,2.70513,1.667e-05,1.667e-05,1.667e-05
2,30.6513,2.07098,3.44758,2.56546,0.00348,1,0.06449,0.02104,1.22963,4.00913,2.60462,4.93499e-05,4.93499e-05,4.93499e-05
3,42.7426,2.04773,3.48825,2.48909,0.00346,1,0.09198,0.03011,1.23073,3.93933,2.55488,8.11496e-05,8.11496e-05,8.11496e-05
4,55.0702,1.9899,3.40493,2.36286,0.00346,1,0.1139,0.03992,1.26599,3.9477,2.53438,0.000112069,0.000112069,0.000112069
5,67.8767,1.88458,3.28283,2.30541,0.00346,1,0.14335,0.07028,1.37022,4.10615,2.58682,0.000142108,0.000142108,0.000142108
6,81.8925,1.64405,3.29543,2.19886,0.00343,1,0.14619,0.08172,1.68974,4.11779,2.71429,0.000171268,0.000171268,0.000171268
7,95.9773,1.63459,3.29076,2.13108,0.00343,1,0.22234,0.09237,1.97326,4.20734,2.88605,0.000199547,0.000199547,0.000199547
8,109.093,1.70502,3.19123,2.08395,0.00344,1,0.36008,0.12501,2.00284,4.14193,2.9463,0.000226945,0.000226945,0.000226945
9,121.856,1.53328,3.05067,1.97664,0.00321,0.91667,0.27397,0.09139,2.03753,4.29807,2.96718,0.000253464,0.000253464,0.000253464
10,134.545,1.54168,3.1464,2.01094,0.00321,0.91667,0.25201,0.08322,1.82265,4.17499,2.8172,0.000279102,0.000279102,0.000279102
11,147.296,1.43283,2.95204,1.89555,0.00304,0.875,0.17521,0.05895,1.759,4.17096,2.77868,0.000303861,0.000303861,0.000303861
12,160.075,1.44719,3.01861,1.91085,0.00307,0.875,0.17479,0.06143,1.69393,4.15806,2.73556,0.000327739,0.000327739,0.000327739
13,172.946,1.44152,2.85822,1.89416,0.00315,0.875,0.21011,0.10631,1.57266,4.02998,2.62481,0.000350737,0.000350737,0.000350737
14,185.812,1.31757,2.84329,1.78281,0.00375,1,0.21162,0.11383,1.75366,4.04083,2.80702,0.000372855,0.000372855,0.000372855
15,198.587,1.38162,2.78827,1.78761,0.00424,1,0.2382,0.11359,1.88875,4.03864,2.98991,0.000394092,0.000394092,0.000394092
16,211.444,1.38732,2.7187,1.78581,0.00477,1,0.25503,0.11803,2.01466,4.13545,3.11697,0.00041445,0.00041445,0.00041445
17,224.339,1.3074,2.5334,1.73748,0.00522,1,0.24829,0.12318,1.87952,4.10463,2.97535,0.000433927,0.000433927,0.000433927
18,237.528,1.32876,2.40574,1.70836,0.00521,0.95833,0.24883,0.13082,1.8844,4.15524,2.94515,0.000452524,0.000452524,0.000452524
19,251.352,1.31812,2.45547,1.74484,0.00415,0.79167,0.1809,0.1149,2.08653,4.18786,3.37646,0.000470241,0.000470241,0.000470241
20,264.239,1.22725,2.21659,1.68494,0.00453,0.91667,0.17871,0.10101,2.04216,4.17603,3.43741,0.000487077,0.000487077,0.000487077
